,roles,companies,locations,experience,salary,skills,Description,Roles,Education
1090,Real Estate Financial Data Analyst,Vichara Technology (India) Private Limited,"Pune, Delhi NCR, Bengaluru",6 - 10 years,"₹ 15,00,000 - 30,00,000 P.A.","Key Skills
US Real Estate Financial DataUS Real Estate Analyst
US Real EstateFinancial AnalysisMRIQuick BooksSpectraTimberlineVoyagerGenesisYardiAppfolioRealPage
Skills highlighted with ‘‘ are preferred keyskills","Analyse US Real Estate Financial data
Transactional accounting activities such as accounts payable & bank reconciliations.
Property accountant tasks as: escrow reconciliations, month end closing, and preparation of monthly reports
Rent Roll Analysts

Required Candidate profile
6+ yrs US Real Estate Financial Data
Exp with 1 or more: Timberline, Yardi, Genesis & Voyager, Appfolio, MRI, Spectra, QuickBooks, RealPage
Strong in: A/c bkground; reading & analysing financial data","RoleFinancial Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :CS in Any Specialization, CA in Any Specialization, ICWA (CMA) in Any Specialization"
1091,Power BI Lead - Data Analytics & Warehousing,DATA LABS,"Pune, Mumbai, Bengaluru, Gurgaon Gurugram",3 - 5 years,Not Disclosed,"Key Skills
DAX Power BINoSQLPower BIData ManagementData Warehousingdata analysis SQL","Time: Immediate Joining.

Job Description : Should have knowledge of Dashboard, Desktop, Data Analysis Function, Make data-driven decisions, from anywhere, share your insights on your website or blog,

1. Dashboard Developing.

2. Desktop Preparation.

3. Data Analysis Function.

4. Make data-driven decisions from any where.

- Must be ready to operate from any 2 of the mentioned locations

- Experience of client handling & interaction

- For lead positions: must have handled a project and team

- Experience in data analysis and data warehousing for performance in Power BI

- Ability to evaluate information gathered from multiple sources, reconcile conflicts and break down high-level information into details.

- Strong organizational skills with attention to detail evidenced through sound analytical skills.

- Demonstrated strength in written, verbal and executive presentation communication skills.

MUST : A good Developer can only qualify the role so please do not waste time if you are not a good Developer.","RoleTeam Lead/Technical Lead
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1092,Data/Research Analyst,PCDS InfoTech,"Mumbai, Hyderabad",2 - 7 years,Not Disclosed,"Key Skills
Data Research AnalystResearchMS OfficeBusiness ExecutiveStatistics","Job Description:

To analyse data for the research projects and prepare reports.

Candidate Profile:

Be a Graduate/Post Graduate in Statistics or Maths

Be strong in anlaytical skills and logic and love analysing data to reveal underlying patterns

Have knowledge of computers, MS-office, and other statistical tools","RoleTrainee
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers"
1093,Data / Research Analyst,PCDS Infotech (P). Ltd,"Mumbai, Hyderabad",2 - 5 years,Not Disclosed,"Key Skills
topToolsData Research AnalystReport preparationResearchMS OfficeLogicBusiness ExecutiveStatistics","8. Data / Research Analyst


Job Description:

To analyse data for the research projects and prepare reports.

Candidate Profile:

Be a Graduate / Post Graduate in Statistics or Maths Be strong in anlaytical skills and logic and love analysing data to reveal underlying patterns Have knowledge of computers , MS - office , and other statistical tools Location: preferably Mumbai or Hyderabad


|| Go To Top ||
APPLY NOW !
nbsp;","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers"
1094,Data/Research Analyst,PCDS InfoTech,"Mumbai, Hyderabad",2 - 5 years,Not Disclosed,"Key Skills
Data Research AnalystResearchMS OfficeBusiness ExecutiveStatistics","To analyse data for the research projects and prepare reports.

Candidate Profile:

Be a Graduate/ Post Graduate in Statistics or Maths

Be strong in anlaytical skills and logic and love analysing data to reveal underlying patterns

Have knowledge of computers, MS-office, and other statistical tools","RoleTrainee
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :B.Sc in Chemistry, Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization, MS/M.Sc(Science) in Chemistry"
1095,Data/Research Analyst,PCDS InfoTech,"Mumbai, Hyderabad, Hyderabad/Secunderabad,Mumbai",5 - 9 years,Not Disclosed,"Key Skills
mathsanalysingdata researchstatistical toolsresearch analystlogicknowledge of computersresearch projectsms office","Job Description:



To analyse data for the research projects and prepare reports.



Candidate Profile:



Be a Graduate/Post Graduate in Statistics or Maths

Be strong in anlaytical skills and logic and love analysing data to reveal underlying patterns

Have knowledge of computers, MS-office, and other statistical tools","RoleBusiness Analyst
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM","Education
UG :B.Sc in Statistics
PG :MS/M.Sc(Science) in Statistics"
1096,Data Analyst/developer - Sql/postgresql,Quantum Inventions Development Centre,Kolkata,2 - 7 years,Not Disclosed,"Key Skills
NoSQLPostgreSQLHadoopBI / DWETLMachine LearningSQLPython","Data AnalystDeveloper (2yr - 10yrs)

- 2+ years of software engineering experience

- Advanced with Python

- Strong knowledge of SQL and experience with PostGres

- Good analytical, mathematical, and problem solving skills

- Able to wear multiple hats when needed

Nice to have skills, but NOT required:

- Experience with Bash scripting

- Experience working with Geo-Spatial data

- Experience working with large datasets

- Experience with ETL tools,

- Experience with R,

- Experience with Hadoop

- Experience with Predictive Modelling

What You Will Be Doing

- Creating reliable and efficient scripts and ETL jobs to load large data sets into data warehouses from numerous sources

- Creating ETL jobs to extract data for data scientists on the team, and to power front-end applications

- Developing complex queries to solve data mining problems

- Collaborating with talented data scientists to implement predictive models

What's In It for You

- You get to work and explore new technologies in the data analytics space

- You get to handle and build systems around big data

Clear verbal and written communication in English is extremely important to succeed in our teams, as we work across borders with cross-nationality teams where clear communication is the key","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers
PG :Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
1097,Azure Data Engineer,Fractal Analytics,"Mumbai, Bengaluru, Gurgaon",3 - 8 years,Not Disclosed,"Key Skills
AzureSQLPython","Roles and Responsibilities

Responsibilities:
Be an integral part of large scale client business development and delivery engagements
Develop the software and systems needed for end-to-end execution on large projects
Work across all phases of SDLC, and use Software Engineering principles to build scaled solutions
Build the knowledge base required to deliver increasingly complex technology projects
Desired Candidate Profile

Perks and Benefits","RoleSystem Integration Technician
Industry TypeKPO, Research, Analytics
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM","Education
PG :Any Postgraduate in Any Specialization"
1098,Data Analyst,"dotSolved India Pvt., Ltd.","Chennai, Delhi NCR, Bengaluru",8 - 13 years,"₹ 6,00,000 - 12,00,000 P.A.","Key Skills
Project ManagementPandasData AnalysisSupply ChainBusiness AnalysisSQLPython","Roles and Responsibilities
Data Analyst to support for our client .


Desired Candidate Profile
Reviewing and reporting on various aspects of the supply chain including employee productivity, supplier performance, and fulfilment performance
Create /Update SOP's for processes performed by supply chain teams
Work with our suppliers to follow up about missing products, late shipments, inaccurate documents
Manage cross-team relationships and gather feedback to influence program design, approach, and workflows
Outside of the core requirements, perform in-depth data analysis to identify areas of risk, opportunities and recommend solutions
Job Required Knowledge skills & Education
Bachelors Degree in Logistics, Operations, Supply Chain or related field
Project management experience for managing various projects including fulfilment
Thorough data analysis and excel skills required (index, match, pivot, etc is a must)
Experience in basic SQL is required
Knowledge of Python/Pandas required
Ability to manage multiple projects and prioritize time with minimal supervision
Ability to thrive in a fast-paced environment; comfort with ambiguity and constantly shifting priorities
Excellent written and verbal communication skills in English is required
Good time-management skills with a problem-solving attitude
Perks and Benefits
Must be flexible to work for US timings.
Remote opportunity","RoleBusiness Analyst
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM","Education
UG :Any Graduate in Any Specialization"
1099,Finance Systems Master Data Analyst,Novell India Pvt. Ltd.,Bengaluru,9 - 13 years,Not Disclosed,"Key Skills
Service managementERPdata securityProcess improvementMachine learningData structuresInformaticaStakeholder managementOperationsDownstream","Responsibilities and Scope Impact / Scope
Collaborate with finance teams   to drive high quality Finance Master Data through   Data Structures , and timely   resolution of system issues
Drive   process optimisation   & standardisation initiatives , implement   process excellence   practices
Manage   training and mentoring   of team
Support   coordination with other functions (including leadership).
Responsibilities
Responsible for the maintenance and implementation of Finance Master Data Structures authoring and mastering data in both NetSuite (ERP) and Informatica (MDM) applications at both an operational and corporate level.
Business Stakeholder Management including peers, juniors and senior management across financial process areas, to ensure all financial attributes are correctly stated and managed throughout the appropriate data models within reporting.
Ensure Informatica system provides accurate, reliable and on-time financial Data Mappings ensuring that all reporting applications (reliant on this data) can be completed throughout the month end close and any data queries are resolved in a timely manner, ensuring business communications throughout
Provide support for resolution of complex system issues related to data integrations, latency and data modelling
Create Master Data elements in ERP (NetSuite) and manage integrations with MDM and downstream applications.
Support Reporting delivery teams with complex reporting / Data analytics and BI using the company Corporate Framework as a date model point
Review and ensure that testing and validation of Finance Master Data for releases, enhancements, process changes, etc. is done in a timely manner
Collecting and approving business data requirements as part of the financial year-end rollover, for additions to the data model or data reporting, working with the BI and Reporting delivery teams to align on expectations and deliverables.
Includes data modelling and process optimization to suit the business requirements working with FP&A on version models of financial data.
Stakeholder management in terms of expectations and delivery
Perform data validations on Finance Master Data across applications to ensure consistency of data attributes throughout the Author, Master and Subscriber Application matrix
Approve access to Informatica for Finance data as required.
Reviewing and approving the monthly user base reconciliations and ensuring that all users with corporate access align to the company policy on data security and insider information.
Ensuring detailed knowledge of the security framework in place for the data report builds and database access
Provide system support to delivery teams during process / system stabilization
Managing the Service Delivery Portal for all new Master Data requests, working closely with the lead to ensure all relevant approvals have been obtained
Logging and triaging all first line responses on tickets relevant to master data
Requesting approvals for create, update and suspend request
Manage ticket closures and stakeholder management
Lead the implementation of new corporate-wide Finance Master Data processes / systems (including development, implementation, maintenance, and communication procedures) and support new projects / transitions.
Ensuring and maintaining a detailed business and application knowledge in respect of the financial master data from an end to end perspective from input to reporting.
Understand and acknowledge the company strategy in terms of developments in master data.
Ensuring all master data changes are compliant with relevant legalization and local requirements (SOX / GDPR)
Report the KPIs / SLA?s to the management / employees (Ad-hoc and MIS Reporting) and deliver Service Management Framework
Ensure performance measures are met or exceeded in order to drive performance and process efficiencies
Be proactive and innovative with ideas to improve service based on current performance and risk understanding
Review existing applications and processes for any gaps or solution opportunities that will drive business and performance enrichment and efficiencies.
Protect organisation's value by keeping information confidential
Engaging with CDO on technical architecture and support model of Informatica.
Review of management and performance of Finance Master Data Tables
Engagement on Finance Master Data integrations supporting the data flow between reporting layers
Ensure knowledge and expertise is maintained, developed and exchanged within the team (including cross-training within the team)
Develop team member skills and knowledge with the full documentation and provide of knowledge based articles for the reporting suite
Attendance at Data Domain Security Governance (DDSG) on a fortnightly basis, representing the Data Domain owner on discussions regarding financial master data attributes.
Contributing to discussions on master data impacting finance from other functional areas e.g. Product, Customer
Contributing to discussions on all data domain governance approvals
Required Skills and Experience Education and Experience
NetSuite Operational qualifications will be an added advantage 
9-13 years? experience
Proven experience of dealing with Finance Master Data
Knowledge and Skills
Essential:
Strong understanding of Finance Master Data structures and attributes
Strong understanding of finance and accounting systems (Netsuite, Blackline, Concur)
Experience of managing senior onshore customers through daily/hourly interactions
Flexibility to support different time-zones and geographies with coverage availability for event based activities (i.e. month end close).
Flexibility to travel across geographies
Excellent communication skills; ability to clearly articulate expectations and outcomes with various levels of management, both in Finance and Business
Fluency in English (both verbal and written)
Other:
Experience of managing transition of system support activities for finance processes (as mentioned above) from different geographies
Process improvement ideas for effective task management within deadlines, in shared service environment
Strong business acumen and analytical skills (MIS reporting)
Ability to exercise independent judgment and make sound decision in situation requiring trade-off
Self-motivator with the ability and confidence to work independently and to strict deadlines
Excellent team player, enthusiastic, innovative and proactive","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - System Programming
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
1100,Data Analyst,Kwalee,Bengaluru,1 - 3 years,Not Disclosed,"Key Skills
Development managementPrototypeNoSQLdata scienceAgilePredictive modelingMATLABGamingSQLPython","As a Game Analyst you will be thinking of potential improvements to our growing portfolio of games. By predicting the potential gains, as well as Analysing the final results, the role is to ensure our games are in the best state possible for driving revenue.

You'll be part of a team that will be based in the new office that we're going to open in Bangalore
What you tell your friends you do
My analysis keeps Kwalee games at the top of the charts for longer!
What you will really be doing
Analyse how millions of players interact with our ever expanding portfolio of games, from prototype to global launch, in order to measure and predict, performance, trends and relationships.
Use statistical testing and predictive modelling to recommend changes to in-game features and design.
Manage large amounts of data from a multitude of sources in order to fuel your activities.
Regularly communicate results and identify solutions with development, management and data science teams.
How you will be doing this
You ll be part of an agile, multidisciplinary and creative team and work closely with them to coordinate efforts and get the best results.
You ll think creatively and will be motivated by challenges and constantly striving for the best.
You ll work with cutting edge technology, if you need software or hardware to get the job done efficiently, you can get it. We even have a robot!
Skills and requirements
Experience analysing complex and varied data in a commercial or academic setting.
Desire to solve new and complex problems every day.
Excellent ability to communicate scientific results to both technical and non-technical team members.
Desirable
A degree in a numerically focussed discipline such as, Maths, Physics, Chemistry, Engineering or Biological Sciences.
Experience with any programmatic analysis tools/languages such as Python, C++, MatLab, R.
Experience with SQL or NoSQL databases for the purposes of data retrieval and management.","RoleSoftware Developer
Industry TypeAnimation, Gaming
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
1101,Data Analyst,Kwalee,Bengaluru,1 - 4 years,Not Disclosed,"Key Skills
NoSQLdata scienceAgilePredictive modelingMarketing managementMATLABGamingMarketing strategySQLPython","As a Game Analyst you will be thinking of potential improvements to our growing portfolio of games. By predicting the potential gains, as well as Analysing the final results, the role is to ensure our games are in the best state possible for driving revenue.
You'll be part of a team that will be based in the new office that we're going to open in Bangalore.
What you tell your friends you do
My analysis keeps Kwalee games at the top of the charts for longer!
What you will really be doing
Analyse our plethora of advertising data to identify new metrics and insights to measure and predict performance across our expanding portfolio of games.
Use statistical testing and predictive modelling to recommend and implement changes to marketing strategy.
Manage large amounts of data from a multitude of sources in order to fuel your activities.
Regularly communicate results and identify solutions with marketing, management and data science teams.
How you will be doing this
You ll be part of an agile, multidisciplinary and creative team and work closely with them to coordinate efforts and get the best results.
You ll think creatively and will be motivated by challenges and constantly striving for the best.
You ll work with cutting edge technology, if you need software or hardware to get the job done efficiently, you can get it. We even have a robot!
Skills and requirements
Experience analysing complex and varied data in a commercial or academic setting.
A degree in a numerically focussed discipline such as, Maths, Physics, Chemistry, Engineering, Biological Sciences.
Desire to solve new and complex problems every day.
Excellent ability to communicate scientific results to both technical and non-technical team members.
Desirable
Experience with any programmatic analysis tools/languages such as Python, C++, MatLab, R.
Experience with SQL or NoSQL databases for the purposes of data retrieval and management.","RoleSoftware Developer
Industry TypeAnimation, Gaming
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
1102,Data Technology Analyst _ CIR,Integreon,Noida,2 - 7 years,Not Disclosed,"Key Skills
Computer scienceData analysisOperations researchDocument reviewRisk assessmentMachine learningForecastingData extractionPython","Job Summary
Provide clients with exceptional service in Integreon extraction-based offerings
I nvestigate, plan, and implement strategically effective data extraction techniques that will optimally meet the needs of our clients and our organization.
Facilitate and monitor data extraction efforts, coordinate workflows, and communicate feedback on findings and advise clients on best courses of action.
Qualifications and experience
2+ years of Power BI and Tableau experience
2+ years of experience with analytic tools including R, Python, or Excel.
2+ years of experience writing SQL queries
2+ years of Data Set manipulation and clean up
Experience applying advanced analytic techniques, forecasting, and machine learning to complex data sets
Knowledge of data analysis and usage requirements.
Understanding of data inquiry methods and various search syntax (Dt Search, Elasti-search, regular expressions) would be an added advantage.
Experience extracting and utilizing large data sets
Understanding of the Contract/Document review processes and objectives would be an added advantage
Knowledge of document review or contract review, or extraction platforms like Relativity, Canopy or others would be an added advantage.
Job Qualifications:
Bachelor's degree in Economics, Statistics, Operations Research, Computer Science, Information Systems, Engineering or similar discipline is preferred
JD preferred, but not essential
Success Characteristics:
Excellent verbal, interpersonal, and written communications skills
Ability to communicate technical concepts in concise language
Ability to deliver effective presentations to a range of stakeholders
Communicate with clients or outside counsel to present analytics results
Explore project needs, and formulate solutions to project issues
Excellent analytical skills
Ability to collect, organize, analyze and disseminate significant amounts of data with attention to detail and accuracy
Ability to quantify resource requirements and measure and communicate proposed project benefits
Problem-solving, risk assessment, and negotiation skills
Ability to work in a high-demand, fast-paced environment
Understanding and passion for learning emerging technology (Ability and willingness to learn new software programs that assist in data analysis)","RoleBusiness/EDP Analyst
Industry TypeTelcom, ISP
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryOperations","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1103,JUNIOR BIG DATA ANALYST IN,Saffron Consultancy Services(scs),Bengaluru,1 - 3 years,Not Disclosed,"Key Skills
Google AnalyticsWeb analyticsQuantitative researchMySQLData collectionData qualityOracleDigital marketingForecastingPython","JD & SKILLS

Identify , analyze , and interpret trends or patterns in data.

Identify new sources of data and methods to improve data collection , analysis , and reporting.

Strong understanding of statistical modeling and its application to solving business problems.

Proven expertise in high impact projects in Digital Analytics and good understanding of latest Digital Marketing trends

Hands - on experience with Python / R , big data technologies and other machine learning platforms for building models.

Conduct detailed and advanced analyses of new and existing businesses covering a variety of areas including ROI analysis , revenue optimization , and product performance.

Able to weave stories with meaningful insight from data.

Prior experience in building and rolling outscoring models , response models , forecasting , segmentation , optimization etc.

Understand the Key Performance Indicators / Metrics that show movement within the marketing objectives.

Ensuring data quality in digital analytics data collection methods and analysis methods using standard web analytics platforms (Adobe Analytics , Google Analytics) or R

Hands on experience in using web data will be an added advantage.

Experience working with RDBMS such as Oracle , MySQL , TeraData

Hands - on experience BI tools like Tableau , Qlik View or similar

Develop hypotheses about customer behavior and profitable growth scenarios and the right mix of qualitative and quantitative research techniques to identify causes and solutions","RoleBusiness/EDP Analyst
Industry TypeRecruitment, Staffing
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryOperations","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1104,Data Analyst,Simplify360,Bengaluru,4 - 5 years,Not Disclosed,"Key Skills
Digital mediaHibernateCore JavaFront endbig data analyticsJavascriptStrutsHTMLCustomer experienceHBase","Responsibilities:
? Managing master data, including creation, updates, and deletion.
? Provide quality assurance of imported data, working with quality assurance analyst if necessary.
? Commissioning and decommissioning of data sets.
? Processing confidential data and information according to guidelines.
? Helping develop reports and analysis.
? Managing and designing the reporting environment, including data sources and security.
? Supporting the data warehouse in identifying and revising reporting requirements.
? Supporting initiatives for data integrity and normalization.
? Generating reports from single or multiple systems.
? Providing technical expertise on data storage structures, data mining, and data cleansing.
Data Analyst Requirements:
? Understanding of methodologies and processes for managing large scale databases and  model building.
? Excellent written and verbal communication skills.
? Good hands on experience with Microsoft Office (Excel, PowerPoint).
? Hands on experience with python will be an added advantage.
? Strong interpersonal skills, team player Ability to multitask, prioritize and work to tight deadlines.
? Knowledge of Social Media platforms.","RoleSoftware Developer
Industry TypeMedia, Entertainment, Internet
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1105,Data Analyst,Simplify360,Bengaluru,3 - 4 years,Not Disclosed,"Key Skills
Data analysisSocial marketingAnalyticalSocial mediaOnline salesData AnalystCustomer serviceMacrosSQLPython","Responsibilities:
? Managing master data, including creation, updates, and deletion.
? Provide quality assurance of imported data, working with quality assurance analyst if necessary.
? Commissioning and decommissioning of data sets.
? Processing confidential data and information according to guidelines.
? Helping develop reports and analysis.
? Managing and designing the reporting environment, including data sources and security.
? Supporting the data warehouse in identifying and revising reporting requirements.
? Supporting initiatives for data integrity and normalization.
? Generating reports from single or multiple systems.
? Providing technical expertise on data storage structures, data mining, and data cleansing.
Data Analyst Requirements:
? Understanding of methodologies and processes for managing large scale databases and  model building.
? Excellent written and verbal communication skills.
? Good hands on experience with Microsoft Office (Excel, PowerPoint).
? Hands on experience with python will be an added advantage.
? Strong interpersonal skills, team player Ability to multitask, prioritize and work to tight deadlines.
? Knowledge of Social Media platforms.","RoleAssociate/Senior Associate -(NonTechnical)
Industry TypeMedia, Entertainment, Internet
Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office/Web/Transaction Processing","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1106,Data Analyst - Last Mile,Jumbotail Technologies,Bengaluru( Koramangala ),1 - 5 years,Not Disclosed,"Key Skills
Business GenerationNetwork DesignData Analysislast mileSupply Chain ManagementSCMOperationsAnalytics","Roles and Responsibilities
lead all analytics activities for last-mile
collaborate with business, product and technology to provide impeccable customer experience
work, analyze, evaluate, and generate business and strategical insights on how users (last mile ops/customers) are interacting with our SC and factor that into our network design
lead investigations into multiple streams of data, analyze users (based on behavior and transactions) to empower SC to drive efficiencies
Build business cases and models to quantify new opportunities; using data and solid business judgment
Desired Candidate Profile

A bachelors degree in Statistics or other quantitative disciplines such as Engineering, Applied Mathematics, etc from IIT/BITS/NIT/IISc.
1-5 years of professional experience in an analytical role
Experience with working with large data sets, thorough knowledge of SQL, and top data mining software + data viz tools
Very hands-on experience of SQL/R/Python to mine large scale data is mandatory
Experience in building time series modelling & predictive analytics
Ability to draw conclusions from data and recommend actions","RoleData Analyst
Industry TypeInternet, Ecommerce
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization"
1107,Data Analyst - ETL/ Data Warehousing,Catalyst,Bengaluru,5 - 9 years,Not Disclosed,"Key Skills
Business IntelligenceData AnalysisStatistical ModelingBig DataOLAPData ModelingETLStatisticsAnalyticsSQL","Roles and responsibilities 
Data Analyst - ETL/Data Warehousing (5-9 yrs)

What You'll Do :


- Design and develop metrics, reports, analyses, and dashboards to drive key business and product decisions to improve performance and reduce costs.


- Conduct deep-dive data analysis for business insights and recommendation


- Combine knowledge of statistical methodology and analysis with programming skills to support complex analyses


- Detailed knowledge of data warehouse technical architecture, infrastructure components, ETL and reporting/analytic tools and environments


- Strong understanding of software development life cycle and/or agile development environment with emphasis on BI practices


- Solid understanding of source data, its strengths, weaknesses, semantics and formats; solid knowledge of logical and physical data modeling concepts (relational and dimensional)


What You'll Need :


- Bachelor's degree in Computer Science, Mathematics, Statistics, Finance, or related technical field


- 5+ years of years of relevant professional work experience in analytics, data engineering, business intelligence, market research or related field


- 5+ years of Experience with BI tools


- Experience gathering business requirements, using industry standard business intelligence tools to extract data, formulate metrics and build reports


- Experience using advanced SQL (OLAP, CTE etc) and databases in a business environment with large-scale, big data, complex datasets


- Experience identifying and communicating analytical outcomes in person and in writing to both business and technical teams


- Experience with statistical modeling and analyzing large data sets


- Experience surfacing automated insights using descriptive analytics","RoleDBA
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing","Education
UG :Any Graduate in Any Specialization, B.Tech/B.E. in Any Specialization, Computers, B.Sc in Any Specialization, Maths, Computers, Statistics, B.A in Any Specialization, Statistics, Maths
PG :Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
1108,Data Analyst,Vedantu Innovations Private Limited,Bengaluru,2 - 4 years,Not Disclosed,"Key Skills
Google AnalyticsData AnalysisSQL
Data ValidationDecision SupportWeb TechnologiesData CollectionWeb AnalyticsDashboardsMarket IntelligenceMarketing
Skills highlighted with ‘‘ are preferred keyskills","worked in trading companies in data anlyst roles, or analyst based companies
Responsibilities:
Act as a Single Point of Contact for all data repository and develop metrics to analyze pertinent information and share insights through various reports, dashboards on sustainable basis.
Deep-dive into data trends to identify root causes and improvement opportunities
Identify trends, patterns and concerns emerging from data and highlight the same to management, with recommendations in a clear, concise manner to enable smooth and quick decision making
Data validation and attention to detail is required as this role will be accountable for quality of all the numbers delivered through dashboards or otherwise
Work effectively as part of a team to achieve individual, team and organizational objectives, sharing knowledge and skills
Collaborate with marketing team to enable decision support and key customer insights through data analysis, modeling, and exploration
Use quantitative data gathered from customer database and web analytics tools to develop an understanding of customer behavior
Apply statistics-based market intelligence to business issues and formulates recommendations and predictions
Ensure data collection is optimized to provide crystal-clear visibility into the past, present, and future behaviors of our customers
Using data to flag risks and opportunities and devising a strategy to improve

Required Technical Skills:
Must be proficient in Google Analytics
Strong experience in building complex SQL queries.
Advanced Excel, Create Pivots. Ability to write macros is preferred
Experience in building complex MIS and dashboards in any BI tool
Good analytical skills and ability to understand business requirement and related metrics, ability to create definitions, ability to slice and dice data.


Required Behavioural Skills:
High Degree of Ownership & Bias for Action
Strong analytical bent of mind
Should be result & detailed oriented and must have ability to multi task and work under
pressure with minimum supervision in the fast-paced environment
Must be self-driven, who can proactively provide regular updates, volunteer to improve the general data reporting
Proficient in Verbal and Written Communication skills, with demonstrated ability to
communicate with fellow analysts and management
Should be a quick learner with ability to learn new tools/technology quickly
Understanding of ecommerce business (preferred but not mandatory)


Qualification:
Bachelor Degree in Engineering from top institute/college - IIT, NIT, BITS Pilani , Statistical institute of India only
Experience: 2-3 years working in trading companies in data anlyst roles, or analyst based companies","RoleData Analyst
Industry TypeOther
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization"
